Dates,USD/INR
04-07-2002,48.81
05-07-2002,48.815
08-07-2002,48.81
09-07-2002,48.795
10-07-2002,48.8
11-07-2002,48.8
12-07-2002,48.8
15-07-2002,48.83
16-07-2002,48.805
17-07-2002,48.76
18-07-2002,48.775
19-07-2002,48.74
22-07-2002,48.695
23-07-2002,48.69
24-07-2002,48.67
25-07-2002,48.67
26-07-2002,48.67
29-07-2002,48.72
30-07-2002,48.72
31-07-2002,48.67
01-08-2002,48.65
02-08-2002,48.655
05-08-2002,48.63
06-08-2002,48.705
07-08-2002,48.67
08-08-2002,48.66
09-08-2002,48.645
12-08-2002,48.61
13-08-2002,48.605
14-08-2002,48.6
15-08-2002,48.605
16-08-2002,48.57
19-08-2002,48.58
20-08-2002,48.58
21-08-2002,48.53
22-08-2002,48.545
23-08-2002,48.53
26-08-2002,48.51
27-08-2002,48.5
28-08-2002,48.475
29-08-2002,48.52
30-08-2002,48.51
02-09-2002,48.475
03-09-2002,48.465
04-09-2002,48.45
05-09-2002,48.475
06-09-2002,48.56
09-09-2002,48.53
10-09-2002,48.485
11-09-2002,48.455
12-09-2002,48.45
13-09-2002,48.44
16-09-2002,48.44
17-09-2002,48.41
18-09-2002,48.41
19-09-2002,48.41
20-09-2002,48.415
23-09-2002,48.39
24-09-2002,48.395
25-09-2002,48.405
26-09-2002,48.4
27-09-2002,48.37
30-09-2002,48.375
01-10-2002,48.355
02-10-2002,48.375
03-10-2002,48.36
04-10-2002,48.36
07-10-2002,48.36
08-10-2002,48.36
09-10-2002,48.315
10-10-2002,48.35
11-10-2002,48.33
14-10-2002,48.335
15-10-2002,48.33
16-10-2002,48.39
17-10-2002,48.395
18-10-2002,48.4
21-10-2002,48.35
22-10-2002,48.36
23-10-2002,48.39
24-10-2002,48.39
25-10-2002,48.38
28-10-2002,48.43
29-10-2002,48.375
30-10-2002,48.39
31-10-2002,48.36
01-11-2002,48.34
04-11-2002,48.33
05-11-2002,48.32
06-11-2002,48.33
07-11-2002,48.285
08-11-2002,48.27
11-11-2002,48.225
12-11-2002,48.27
13-11-2002,48.275
14-11-2002,48.265
15-11-2002,48.18
18-11-2002,48.21
19-11-2002,48.18
20-11-2002,48.225
21-11-2002,48.2
22-11-2002,48.19
25-11-2002,48.2
26-11-2002,48.2
27-11-2002,48.235
28-11-2002,48.275
29-11-2002,48.32
02-12-2002,48.285
03-12-2002,48.255
04-12-2002,48.205
05-12-2002,48.25
06-12-2002,48.225
09-12-2002,48.2
10-12-2002,48.19
11-12-2002,48.155
12-12-2002,48.185
13-12-2002,48.185
16-12-2002,48.15
17-12-2002,48.135
18-12-2002,48.115
19-12-2002,48.085
20-12-2002,48.01
23-12-2002,48.01
24-12-2002,48.015
25-12-2002,48.01
26-12-2002,48.01
27-12-2002,47.975
30-12-2002,47.935
31-12-2002,47.975
01-01-2003,47.9925
02-01-2003,48.01
03-01-2003,48
06-01-2003,47.99
07-01-2003,47.99
08-01-2003,47.945
09-01-2003,47.93
10-01-2003,47.975
13-01-2003,47.925
14-01-2003,47.905
15-01-2003,47.94
16-01-2003,47.94
17-01-2003,47.92
20-01-2003,47.95
21-01-2003,47.935
22-01-2003,47.91
23-01-2003,47.91
24-01-2003,47.84
27-01-2003,47.905
28-01-2003,47.895
29-01-2003,47.82
30-01-2003,47.795
31-01-2003,47.795
03-02-2003,47.795
04-02-2003,47.79
05-02-2003,47.75
06-02-2003,47.74
07-02-2003,47.7
10-02-2003,47.695
11-02-2003,47.73
12-02-2003,47.87
13-02-2003,47.9
14-02-2003,47.86
17-02-2003,47.75
18-02-2003,47.725
19-02-2003,47.7
20-02-2003,47.705
21-02-2003,47.72
24-02-2003,47.74
25-02-2003,47.72
26-02-2003,47.68
27-02-2003,47.67
28-02-2003,47.67
03-03-2003,47.65
04-03-2003,47.65
05-03-2003,47.64
06-03-2003,47.63
07-03-2003,47.65
10-03-2003,47.66
11-03-2003,47.65
12-03-2003,47.655
13-03-2003,47.66
14-03-2003,47.64
17-03-2003,47.66
18-03-2003,47.66
19-03-2003,47.695
20-03-2003,47.74
21-03-2003,47.67
24-03-2003,47.66
25-03-2003,47.62
26-03-2003,47.56
27-03-2003,47.54
28-03-2003,47.545
31-03-2003,47.47
01-04-2003,47.455
02-04-2003,47.385
03-04-2003,47.402
04-04-2003,47.4375
07-04-2003,47.445
08-04-2003,47.445
09-04-2003,47.4675
10-04-2003,47.395
11-04-2003,47.4125
14-04-2003,47.355
15-04-2003,47.3435
16-04-2003,47.3535
17-04-2003,47.375
18-04-2003,47.36
21-04-2003,47.3595
22-04-2003,47.3475
23-04-2003,47.345
24-04-2003,47.336
25-04-2003,47.355
28-04-2003,47.3563
29-04-2003,47.38
30-04-2003,47.325
01-05-2003,47.3325
02-05-2003,47.3435
05-05-2003,47.295
06-05-2003,47.271
07-05-2003,47.256
08-05-2003,47.2175
09-05-2003,47.185
12-05-2003,47.1645
13-05-2003,47.1588
14-05-2003,47.1525
15-05-2003,47.125
16-05-2003,47.135
19-05-2003,46.9935
20-05-2003,46.915
21-05-2003,46.8625
22-05-2003,46.905
23-05-2003,46.9038
26-05-2003,46.88
27-05-2003,46.905
28-05-2003,46.98
29-05-2003,47.0575
30-05-2003,47.08
02-06-2003,47.125
03-06-2003,46.95
04-06-2003,46.885
05-06-2003,46.9075
06-06-2003,46.895
09-06-2003,46.885
10-06-2003,46.7875
11-06-2003,46.6925
12-06-2003,46.685
13-06-2003,46.735
16-06-2003,46.6675
17-06-2003,46.59
18-06-2003,46.5888
19-06-2003,46.576
20-06-2003,46.54
23-06-2003,46.655
24-06-2003,46.585
25-06-2003,46.59
26-06-2003,46.5775
27-06-2003,46.4025
30-06-2003,46.4875
01-07-2003,46.435
02-07-2003,46.42
03-07-2003,46.4
04-07-2003,46.33
07-07-2003,46.33
08-07-2003,46.27
09-07-2003,46.23
10-07-2003,46.19
11-07-2003,46.1075
14-07-2003,46.04
15-07-2003,46.13
16-07-2003,46.1975
17-07-2003,46.22
18-07-2003,46.235
21-07-2003,46.275
22-07-2003,46.18
23-07-2003,46.16
24-07-2003,46.16
25-07-2003,46.11
28-07-2003,46.135
29-07-2003,46.1175
30-07-2003,46.12
31-07-2003,46.142
01-08-2003,46.16
04-08-2003,46.135
05-08-2003,46.115
06-08-2003,46.045
07-08-2003,45.93
08-08-2003,45.96
11-08-2003,45.95
12-08-2003,45.88
13-08-2003,45.9
14-08-2003,45.895
15-08-2003,45.875
18-08-2003,45.84
19-08-2003,45.8
20-08-2003,45.815
21-08-2003,45.84
22-08-2003,45.85
25-08-2003,45.885
26-08-2003,45.87
27-08-2003,45.83
28-08-2003,45.865
29-08-2003,45.84
01-09-2003,45.83
02-09-2003,45.87
03-09-2003,45.89
04-09-2003,45.86
05-09-2003,45.865
08-09-2003,45.8
09-09-2003,45.8
10-09-2003,45.71
11-09-2003,45.695
12-09-2003,45.75
15-09-2003,45.79
16-09-2003,45.85
17-09-2003,45.9525
18-09-2003,45.985
19-09-2003,45.93
22-09-2003,45.745
23-09-2003,45.76
24-09-2003,45.77
25-09-2003,45.87
26-09-2003,45.865
29-09-2003,45.8
30-09-2003,45.76
01-10-2003,45.55
02-10-2003,45.5
03-10-2003,45.38
06-10-2003,45.44
07-10-2003,45.28
08-10-2003,45.39
09-10-2003,45.24
10-10-2003,45.37
13-10-2003,45.41
14-10-2003,45.655
15-10-2003,45.69
16-10-2003,45.3
17-10-2003,45.305
20-10-2003,45.32
21-10-2003,45.31
22-10-2003,45.305
23-10-2003,45.275
24-10-2003,45.315
27-10-2003,45.395
28-10-2003,45.3
29-10-2003,45.325
30-10-2003,45.29
31-10-2003,45.32
03-11-2003,45.31
04-11-2003,45.32
05-11-2003,45.25
06-11-2003,45.305
07-11-2003,45.3
10-11-2003,45.215
11-11-2003,45.29
12-11-2003,45.33
13-11-2003,45.355
14-11-2003,45.42
17-11-2003,45.5
18-11-2003,45.63
19-11-2003,45.625
20-11-2003,45.735
21-11-2003,45.75
24-11-2003,45.86
25-11-2003,45.925
26-11-2003,45.88
27-11-2003,45.895
28-11-2003,45.77
01-12-2003,45.695
02-12-2003,45.64
03-12-2003,45.625
04-12-2003,45.595
05-12-2003,45.595
08-12-2003,45.56
09-12-2003,45.52
10-12-2003,45.515
11-12-2003,45.535
12-12-2003,45.525
15-12-2003,45.535
16-12-2003,45.515
17-12-2003,45.505
18-12-2003,45.495
19-12-2003,45.45
22-12-2003,45.525
23-12-2003,45.475
24-12-2003,45.475
25-12-2003,45.515
26-12-2003,45.45
29-12-2003,45.57
30-12-2003,45.525
31-12-2003,45.625
01-01-2004,45.596
02-01-2004,45.64
05-01-2004,45.615
06-01-2004,45.615
07-01-2004,45.48
08-01-2004,45.505
09-01-2004,45.435
12-01-2004,45.425
13-01-2004,45.405
14-01-2004,45.42
15-01-2004,45.425
16-01-2004,45.405
19-01-2004,45.42
20-01-2004,45.405
21-01-2004,45.35
22-01-2004,45.355
23-01-2004,45.355
26-01-2004,45.325
27-01-2004,45.38
28-01-2004,45.345
29-01-2004,45.275
30-01-2004,45.265
02-02-2004,45.24
03-02-2004,45.295
04-02-2004,45.27
05-02-2004,45.26
06-02-2004,45.285
09-02-2004,45.235
10-02-2004,45.23
11-02-2004,45.2625
12-02-2004,45.215
13-02-2004,45.235
16-02-2004,45.2975
17-02-2004,45.2813
18-02-2004,45.275
19-02-2004,45.24
20-02-2004,45.2562
23-02-2004,45.285
24-02-2004,45.23
25-02-2004,45.2
26-02-2004,45.235
27-02-2004,45.235
01-03-2004,45.2375
02-03-2004,45.2375
03-03-2004,45.215
04-03-2004,45.27
05-03-2004,45.27
08-03-2004,45.225
09-03-2004,45.21
10-03-2004,45.21
11-03-2004,45.285
12-03-2004,45.26
15-03-2004,45.245
16-03-2004,45.2425
17-03-2004,45.2463
18-03-2004,45.2375
19-03-2004,45.1701
22-03-2004,45.095
23-03-2004,44.8706
24-03-2004,44.7451
25-03-2004,44.7375
26-03-2004,44.48
29-03-2004,44.07
30-03-2004,44.06
31-03-2004,43.6
01-04-2004,43.6
02-04-2004,43.735
05-04-2004,43.6875
06-04-2004,43.735
07-04-2004,43.5375
08-04-2004,43.62
09-04-2004,43.635
12-04-2004,43.6525
13-04-2004,43.8
14-04-2004,43.8
15-04-2004,43.99
16-04-2004,43.88
19-04-2004,43.8975
20-04-2004,43.95
21-04-2004,44.055
22-04-2004,44.14
23-04-2004,44.03
26-04-2004,44.085
27-04-2004,44.23
28-04-2004,44.17
29-04-2004,44.42
30-04-2004,44.5
03-05-2004,44.805
04-05-2004,44.705
05-05-2004,44.685
06-05-2004,44.68
07-05-2004,44.66
10-05-2004,45.03
11-05-2004,45.41
12-05-2004,45.375
13-05-2004,45.27
14-05-2004,45.63
17-05-2004,45.525
18-05-2004,45.48
19-05-2004,45.245
20-05-2004,45.345
21-05-2004,45.285
24-05-2004,45.3375
25-05-2004,45.36
26-05-2004,45.395
27-05-2004,45.415
28-05-2004,45.475
31-05-2004,45.465
01-06-2004,45.43
02-06-2004,45.3863
03-06-2004,45.25
04-06-2004,45.115
07-06-2004,45.0525
08-06-2004,45.025
09-06-2004,44.98
10-06-2004,45.0675
11-06-2004,45.155
14-06-2004,45.345
15-06-2004,45.395
16-06-2004,45.41
17-06-2004,45.49
18-06-2004,45.67
21-06-2004,45.935
22-06-2004,46.25
23-06-2004,45.71
24-06-2004,45.77
25-06-2004,45.8325
28-06-2004,45.935
29-06-2004,46.03
30-06-2004,46.06
01-07-2004,45.885
02-07-2004,45.88
05-07-2004,45.835
06-07-2004,46.045
07-07-2004,45.85
08-07-2004,45.835
09-07-2004,45.665
12-07-2004,45.69
13-07-2004,45.88
14-07-2004,45.8575
15-07-2004,46.115
16-07-2004,45.955
19-07-2004,46.09
20-07-2004,46.11
21-07-2004,46.12
22-07-2004,46.255
23-07-2004,46.3225
26-07-2004,46.28
27-07-2004,46.225
28-07-2004,46.345
29-07-2004,46.4713
30-07-2004,46.47
02-08-2004,46.345
03-08-2004,46.39
04-08-2004,46.365
05-08-2004,46.3675
06-08-2004,46.3675
09-08-2004,46.4263
10-08-2004,46.355
11-08-2004,46.3175
12-08-2004,46.2225
13-08-2004,46.3
16-08-2004,46.405
17-08-2004,46.355
18-08-2004,46.3625
19-08-2004,46.3225
20-08-2004,46.26
23-08-2004,46.2725
24-08-2004,46.315
25-08-2004,46.36
26-08-2004,46.335
27-08-2004,46.305
30-08-2004,46.3675
31-08-2004,46.3538
01-09-2004,46.3325
02-09-2004,46.32
03-09-2004,46.295
06-09-2004,46.3488
07-09-2004,46.36
08-09-2004,46.3225
09-09-2004,46.2925
10-09-2004,46.2725
13-09-2004,46.1725
14-09-2004,45.905
15-09-2004,45.855
16-09-2004,45.865
17-09-2004,45.875
20-09-2004,45.8775
21-09-2004,45.845
22-09-2004,45.86
23-09-2004,45.925
24-09-2004,45.91
27-09-2004,45.965
28-09-2004,46.11
29-09-2004,46.01
30-09-2004,45.95
01-10-2004,45.9
04-10-2004,45.8525
05-10-2004,45.865
06-10-2004,45.8575
07-10-2004,45.8563
08-10-2004,45.815
11-10-2004,45.8425
12-10-2004,45.8725
13-10-2004,45.835
14-10-2004,45.86
15-10-2004,45.86
18-10-2004,45.8475
19-10-2004,45.8025
20-10-2004,45.77
21-10-2004,45.7375
22-10-2004,45.69
25-10-2004,45.65
26-10-2004,45.675
27-10-2004,45.635
28-10-2004,45.565
29-10-2004,45.3875
01-11-2004,45.4175
02-11-2004,45.51
03-11-2004,45.375
