,BIZD,IWM,XLF,HYG,TLT,^VIX,VIX_Change,IWM_Change,XLF_Change,HYG,HY_OAS_Change,High_Vol_Regime,Stress_Period,Wide_Spread_Regime,XLF_Change_HighVol,IWM_Change_HighVol,HYG_HighVol,XLF_Change_Stress,IWM_Change_Stress,HYG_Stress,XLF_WideCred,HYG_WideCred,Credit_Market_Stress,Rate_Credit_Stress
2022-04-05,-0.0011356318659986341,-0.023948656409985853,-0.006327303019757861,-0.013043345425212169,-0.022851632862745466,0.12440266343456106,0.12440266343456106,-0.023948656409985853,-0.006327303019757861,-0.013043345425212169,0.08000000000000007,1,1,0,-0.006327303019757861,-0.023948656409985853,-0.013043345425212169,-0.006327303019757861,-0.023948656409985853,-0.013043345425212169,-0.0,-0.0,0.00031237059802516706,-0.001828130629019639
2022-04-06,-0.0074138595962763764,-0.014289605878957895,-0.006900498549772329,-0.007883400297078383,-0.008126986791804092,0.0496276034194116,0.0496276034194116,-0.014289605878957895,-0.006900498549772329,-0.007883400297078383,0.21999999999999975,1,0,0,-0.006900498549772329,-0.014289605878957895,-0.007883400297078383,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-04-07,0.0005722406615967013,-0.0032534034276931753,-0.0010656972426175571,-0.0016090392163134696,-0.007560958476394601,-0.025201844638247307,-0.025201844638247307,-0.0032534034276931753,-0.0010656972426175571,-0.0016090392163134696,0.0600000000000005,1,0,0,-0.0010656972426175571,-0.0032534034276931753,-0.0016090392163134696,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-04-08,0.007977250800678504,-0.00800361018036387,0.010079570970333402,-0.006088061859793284,-0.010889801249440122,-0.018263181367582593,-0.018263181367582593,-0.00800361018036387,0.010079570970333402,-0.006088061859793284,0.09999999999999964,1,0,0,0.010079570970333402,-0.00800361018036387,-0.006088061859793284,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
2022-04-11,-0.005691709505364092,-0.006744252193447382,-0.0044966738241278,-0.006878201455414249,-0.015951351952757223,0.14124030229531587,0.14124030229531587,-0.006744252193447382,-0.0044966738241278,-0.006878201455414249,0.1900000000000004,1,1,0,-0.0044966738241278,-0.006744252193447382,-0.006878201455414249,-0.0044966738241278,-0.006744252193447382,-0.006878201455414249,-0.0,-0.0,4.638832525265053e-05,-0.0030307568710238784
2022-04-12,-0.003430273819543945,0.0031496618161157403,-0.0109290259201245,0.007625441087785645,-0.0013815045202028487,-0.004523989123826763,-0.004523989123826763,0.0031496618161157403,-0.0109290259201245,0.007625441087785645,-0.08000000000000007,1,0,0,-0.0109290259201245,0.0031496618161157403,0.007625441087785645,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2022-04-13,0.014216766491553855,0.018841627216502222,0.0,0.00595991251099162,0.0020308473179194027,-0.10600194653157283,-0.10600194653157283,0.018841627216502222,0.0,0.00595991251099162,-0.020000000000000462,1,0,0,0.0,0.018841627216502222,0.00595991251099162,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2022-04-14,0.0,-0.009753353187106755,-0.011320882182852262,-0.006707152143363148,-0.02024883596219305,0.03953799167815706,0.03953799167815706,-0.009753353187106755,-0.011320882182852262,-0.006707152143363148,0.010000000000000675,1,0,0,-0.011320882182852262,-0.009753353187106755,-0.006707152143363148,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-04-18,0.0045073076295036,-0.0067578635807902295,0.005945910037162029,-0.0016214820255306193,-0.004981409101777225,-0.023624931027489242,-0.023624931027489242,-0.0067578635807902295,0.005945910037162029,-0.0016214820255306193,,1,0,0,0.005945910037162029,-0.0067578635807902295,-0.0016214820255306193,0.0,-0.0,-0.0,0.0,-0.0,0.0,
2022-04-19,0.004486634780928956,0.019741019666357797,0.013649280909814121,-0.0008744475991014246,-0.007518881056747327,-0.03675191846691165,-0.03675191846691165,0.019741019666357797,0.013649280909814121,-0.0008744475991014246,0.020000000000000462,1,0,0,0.013649280909814121,0.019741019666357797,-0.0008744475991014246,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
2022-04-20,0.007803756278483027,0.0038130261857261135,0.006887596186269685,0.0031185743729467796,0.019925835674336125,-0.050382500910835126,-0.050382500910835126,0.0038130261857261135,0.006887596186269685,0.0031185743729467796,-0.0600000000000005,1,0,0,0.006887596186269685,0.0038130261857261135,0.0031185743729467796,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2022-04-21,-0.0078037562784830875,-0.02264355949123242,-0.01596645725116889,-0.006873565665079596,-0.007425545515811595,0.10987788462348555,0.10987788462348555,-0.02264355949123242,-0.01596645725116889,-0.006873565665079596,0.040000000000000036,1,0,0,-0.01596645725116889,-0.02264355949123242,-0.006873565665079596,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-04-22,-0.020922400225642276,-0.026225629049762396,-0.030226727543686202,-0.006037993085810028,-0.00631415572021649,0.21819300024463079,0.21819300024463079,-0.026225629049762396,-0.030226727543686202,-0.006037993085810028,0.13999999999999968,1,1,0,-0.030226727543686202,-0.026225629049762396,-0.006037993085810028,-0.030226727543686202,-0.026225629049762396,-0.006037993085810028,-0.0,-0.0,0.00015835016687348394,-0.0008839818008303065
2022-04-25,0.0,0.006053882644375985,0.0016573326777107992,0.008417805914101559,0.009951314820852986,-0.043099143086190964,-0.043099143086190964,0.006053882644375985,0.0016573326777107992,0.008417805914101559,0.07000000000000028,1,0,0,0.0016573326777107992,0.006053882644375985,0.008417805914101559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-26,-0.041417245168943774,-0.032026563481227795,-0.025437955527328342,-0.005897117279985364,0.010016371997218861,0.21556493979660302,0.21556493979660302,-0.032026563481227795,-0.025437955527328342,-0.005897117279985364,-0.03000000000000025,1,1,0,-0.025437955527328342,-0.032026563481227795,-0.005897117279985364,-0.025437955527328342,-0.032026563481227795,-0.005897117279985364,-0.0,-0.0,0.00018886440092369665,-0.00030049115991656833
2022-04-27,0.015366428175909249,-0.004163449958004031,-0.0008500157656842279,-0.004920528785327723,-0.012908623454864283,-0.0589851566056232,-0.0589851566056232,-0.004163449958004031,-0.0008500157656842279,-0.004920528785327723,0.05000000000000071,1,0,0,-0.0008500157656842279,-0.004163449958004031,-0.004920528785327723,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
2022-04-28,0.005264815859028326,0.018494997157056586,0.01267092974644042,0.005549283549604351,0.0014883624853030805,-0.052293147535713964,-0.052293147535713964,0.018494997157056586,0.01267092974644042,0.005549283549604351,0.02999999999999936,1,0,0,0.01267092974644042,0.018494997157056586,0.005549283549604351,0.0,0.0,0.0,0.0,0.0,0.0,0.0
