Date,NAV,Cash_NAV,Gold_NAV,Apple_NAV,JnJ_NAV,PG_NAV,EM_NAV,Private Credit_NAV,TIPS ETF_NAV,10Y Bond_NAV,SPX ATM Call_NAV,Inflation Swap_NAV,Convertible Bond_NAV
2019-02-09,1166330.4205737247,173681.5039262847,161326.90654845556,27539.06897364215,36628.47973848193,61215.97320533457,121144.92089075025,118827.36122230059,112591.21728240764,105602.24304942919,0.0,125013.86132006509,122758.88441657308
2019-02-10,1167225.7105118178,173698.52321284206,161789.33589648697,27564.816306572455,36730.91787093853,61573.13846329028,120650.16090983264,118746.24476887133,112566.1970906858,105602.84100800948,0.0,125340.43288247225,122963.10210181595
2019-02-11,1167640.9847739325,173715.54416714242,161042.56591519353,27457.804933638967,36636.29276656253,61877.81584128906,120467.70304199321,119003.59448593565,112458.97176653656,105687.80745453123,0.0,126096.08841133228,123196.79598977722
2019-02-12,1171764.5662028878,173732.56678934922,161374.55411226285,27758.829498619987,37222.10262502,62458.54233052461,121264.54225513674,119750.44308798837,112414.2318567216,105579.41655001177,0.0,126717.5214458385,123491.81565141406
2019-02-13,1172833.75895234,173749.5910796259,160815.18175439994,27696.982975694358,37310.15318677466,62498.27619000447,121117.13249974349,119937.11627516223,112516.6275637278,105681.09686317925,0.0,127573.89215716237,123937.70840686557
2019-02-14,1174300.896359156,173766.61703813594,161549.0758400398,27807.21184971459,37293.85441251026,61909.6295122433,120804.88951063497,119878.67630528506,112677.96184345036,105796.82914246529,0.0,128425.7839471955,124390.36695748084
2019-02-15,1177350.6329888364,173783.64466504278,162671.083400381,27846.40221557227,37860.235740697084,62132.908669108074,120204.28490452709,120586.36204651884,112712.43635585047,105942.85010375573,0.0,128956.84136452209,124653.58352286095
2019-02-16,1179944.637635505,173800.6739605099,163800.88364513664,27885.64781475519,38435.218695451396,62356.99308974656,119606.66631905413,121298.22550412205,112746.92141593875,106089.07260342222,0.0,129058.15202655904,124866.18256080925
2019-02-17,1182774.2602353569,173817.70492470084,164938.5306968746,27924.948725106973,39018.93390957468,62581.88567836959,119012.01890864357,122014.29134061513,112781.41702694233,106235.49691962836,0.0,129346.5133944233,125102.51871047748
2019-02-18,1185427.850029382,173834.7375577791,166084.07905406054,27964.305024580957,39611.51399978722,62807.58934966212,118420.32790153052,122734.58436411002,112815.92319208934,106382.12333092168,0.0,129609.0027199923,125163.66353486832
2019-02-19,1189615.0322579504,173851.7718599082,168245.60351109013,28030.413899828516,39436.19759495064,63578.511154593434,119100.17018984108,122953.9848475221,112850.43991460885,106432.90793742836,0.0,130046.82076922276,125088.21057895641
2019-02-20,1191793.4406712677,173868.80783125173,167961.7421256222,28167.39731197492,39615.088154559475,63236.149742340516,120421.73221390993,123269.5363263997,112958.15743456868,106463.03172852841,0.0,130654.35131930135,125177.44648281076
2019-02-21,1190444.8219155185,173885.84547197324,166217.77351222184,28087.837302498934,39354.79321583544,63543.50163446852,120470.06056551675,123185.493862658,112908.51897070781,106262.4331287093,0.0,131261.88186426618,125266.68238666242
2019-02-22,1193822.2253973887,173902.8847822363,166899.08884102435,28453.63421796815,39701.01997068766,63609.7619075989,121379.98263880711,123435.07219341877,113111.95637796872,106240.84954351606,0.0,131817.2608046826,125270.71411948005
2019-02-23,1197058.9915557608,173919.92576220454,167583.19683493994,28824.19502401127,40050.292681470026,63676.09127392814,122296.77744193238,123685.15617903575,113315.76033665595,106219.27034229123,0.0,132107.88961508614,125380.43606420535
2019-02-24,1200365.562334519,173936.96841204155,168270.10894091264,29199.58176230345,40402.63814520905,63742.4898055035,123220.49688528881,123935.74684398423,113519.93150721809,106197.69552414435,0.0,132262.20752294053,125677.69698497296
