Date,Return
2015-06-18,0.005403098258262462
2015-06-19,-0.0016862765191570928
2015-06-20,-0.001674854746503418
2015-06-21,-0.0016634719478791915
2015-06-22,0.0011380016834654505
2015-06-23,-0.0016952854162389785
2015-06-24,-0.00015920040545680525
2015-06-25,-0.001668850850402026
2015-06-26,-0.005935330812494866
2015-06-27,-0.005677786088129966
2015-06-28,-0.005430781879130708
2015-06-29,-0.007729518957743209
2015-06-30,0.006502070355183465
2015-07-01,0.00296284032374472
2015-07-02,-0.00011674707052689026
2015-07-03,-0.00011478325305980253
2015-07-04,-0.00011281967918141955
2015-07-05,-0.00011085635072627387
2015-07-06,-0.002373658572997761
2015-07-07,0.00010482074744189163
2015-07-08,-0.006846740168217735
2015-07-09,2.0433327940772017e-05
2015-07-10,0.006029857215961609
